dteday,cnt,temp
2011-01-01,16,0.344167
2011-01-01,40,0.344167
2011-01-01,32,0.344167
2011-01-01,13,0.344167
2011-01-01,1,0.344167
2011-01-01,1,0.344167
2011-01-01,2,0.344167
2011-01-01,3,0.344167
2011-01-01,8,0.344167
2011-01-01,14,0.344167
2011-01-01,36,0.344167
2011-01-01,56,0.344167
2011-01-01,84,0.344167
2011-01-01,94,0.344167
2011-01-01,106,0.344167
2011-01-01,110,0.344167
2011-01-01,93,0.344167
2011-01-01,67,0.344167
2011-01-01,35,0.344167
2011-01-01,37,0.344167
2011-01-01,36,0.344167
2011-01-01,34,0.344167
2011-01-01,28,0.344167
2011-01-01,39,0.344167
2011-01-02,17,0.363478
2011-01-02,17,0.363478
2011-01-02,9,0.363478
2011-01-02,6,0.363478
2011-01-02,3,0.363478
2011-01-02,2,0.363478
2011-01-02,1,0.363478
2011-01-02,8,0.363478
2011-01-02,20,0.363478
2011-01-02,53,0.363478
2011-01-02,70,0.363478
2011-01-02,93,0.363478
2011-01-02,75,0.363478
2011-01-02,59,0.363478
2011-01-02,74,0.363478
2011-01-02,76,0.363478
2011-01-02,65,0.363478
2011-01-02,53,0.363478
2011-01-02,30,0.363478
2011-01-02,22,0.363478
2011-01-02,31,0.363478
2011-01-02,9,0.363478
2011-01-02,8,0.363478
2011-01-03,5,0.196364
2011-01-03,2,0.196364
2011-01-03,1,0.196364
2011-01-03,3,0.196364
2011-01-03,30,0.196364
2011-01-03,64,0.196364
2011-01-03,154,0.196364
2011-01-03,88,0.196364
2011-01-03,44,0.196364
2011-01-03,51,0.196364
2011-01-03,61,0.196364
2011-01-03,61,0.196364
2011-01-03,77,0.196364
2011-01-03,72,0.196364
2011-01-03,76,0.196364
2011-01-03,157,0.196364
2011-01-03,157,0.196364
2011-01-03,110,0.196364
2011-01-03,52,0.196364
2011-01-03,52,0.196364
2011-01-03,20,0.196364
2011-01-03,12,0.196364
2011-01-04,5,0.2
2011-01-04,2,0.2
2011-01-04,1,0.2
2011-01-04,2,0.2
2011-01-04,4,0.2
2011-01-04,36,0.2
2011-01-04,94,0.2
2011-01-04,179,0.2
2011-01-04,100,0.2
2011-01-04,42,0.2
2011-01-04,57,0.2
2011-01-04,78,0.2
2011-01-04,97,0.2
2011-01-04,63,0.2
2011-01-04,65,0.2
2011-01-04,83,0.2
2011-01-04,212,0.2
2011-01-04,182,0.2
2011-01-04,112,0.2
2011-01-04,54,0.2
2011-01-04,48,0.2
